ClusterID,Age,Diagnosis,ZIP,SystolicBP,BMI
1,35.0,"Diabetes,Flu,Migraine",53118.0,106.0,24.066666666666666
2,73.0,"Cancer,Diabetes,Migraine",53115.333333333336,129.66666666666666,24.133333333333336
3,67.66666666666667,"Cancer,Diabetes,Hypertension",53118.0,132.66666666666666,24.599999999999998
4,29.333333333333332,"Asthma,Hypertension,Migraine",53116.333333333336,90.0,22.133333333333336
5,35.333333333333336,"Diabetes,Flu",53115.333333333336,100.0,22.866666666666664
6,67.0,"Asthma,Cancer,Migraine",53117.666666666664,121.66666666666667,29.0
7,42.0,"Cancer,Diabetes",53117.0,108.0,29.46666666666667
8,63.333333333333336,"Asthma,Hypertension,Migraine",53117.333333333336,124.0,21.866666666666664
9,60.666666666666664,"Diabetes,Hypertension,Migraine",53117.666666666664,124.0,26.266666666666666
10,37.0,"Diabetes,Flu,Hypertension",53116.333333333336,109.0,25.366666666666664
11,47.333333333333336,"Asthma,Cancer",53116.666666666664,104.66666666666667,22.46666666666667
12,48.666666666666664,"Flu,Hypertension",53115.0,116.33333333333333,25.666666666666668
13,62.75,"Diabetes,Hypertension,Migraine",53115.5,121.5,25.099999999999998
